OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
68,Hope Valley Green,http://durhamhoods.com/neighborhoods/hope-valley-green/,40.9,0,291678,0,78,0,1998,2.6,0,0,0,3.9,0,32.9,28.9,0,0,68,0.018087216,-1.32e-05,0.018087216,-1.32e-05
69,Hope Valley North,http://durhamhoods.com/neighborhoods/hope-valley-north/,0,0,482118,11,76,0,1976,1.2,11,1,5,0,0,0,0,0,0,69,0.0231746,-2.39e-05,0.0231746,-2.39e-05
70,Horton Hills,http://durhamhoods.com/neighborhoods/horton-hills/,71,0,52054,10,70,0,2004,0,1,0,0,0,0,0,0,0,0,70,0.022277703,-2.6e-05,0.022277703,-2.6e-05
71,Huntington Ridge,http://durhamhoods.com/neighborhoods/huntington-ridge/,60.4,0,176405,0,29,0,2004,6.3,0,0,0,0,0,0,0,0,0,71,0.029987915,-4.43e-05,0.029987915,-4.43e-05
72,Inverness Drive,http://durhamhoods.com/neighborhoods/inverness-drive/,0,0,825960,0,6,0,1977,8.6,0,0,0,0,0,0,0,0,0,72,0.02873926,-4.71e-05,0.02873926,-4.71e-05
73,Knollwood,http://durhamhoods.com/neighborhoods/knollwood/,7.6,0,5343,0,36,0,1970,0,1,0,0,0,0,0,37,0,0,73,0.018256546,-1.45e-05,0.018256546,-1.45e-05
74,Lakehurst,http://durhamhoods.com/neighborhoods/lakehurst/,43.9,0,14609,0,27,5,1997,0,1,0,0,0,0,0,0,0,0,74,0.028908493,-4.78e-05,0.028908493,-4.78e-05
75,Lakewood Park,http://durhamhoods.com/neighborhoods/lakewood-park/,45.1,891018,7134084,282,554,54,1953,42.5,23,15,11,78,0,0,100,74,11,75,0.026745549,-4.77e-05,0.026745549,-4.77e-05
76,Lochaven Hills,http://durhamhoods.com/neighborhoods/lochaven-hills/,0,0,754017,10,40,5,1974,3.2,5,0,0,0,0,0,0,0,0,76,0.033179135,-5.15e-05,0.033179135,-5.15e-05
77,Lochn'ora,http://durhamhoods.com/neighborhoods/lochnora/,1.4,0,4026808,5,14,0,1989,3,0,0,0,0,0,0,0,0,0,77,0.032464455,-5.44e-05,0.032464455,-5.44e-05
78,Lochside,http://durhamhoods.com/neighborhoods/lochside/,77.1,0,0,0,471,0,2005,0,0,0,0,0,0,0,0,0,0,78,0.008419344,-4.4e-06,0.008419344,-4.4e-06
79,Long Meadow,http://durhamhoods.com/neighborhoods/long-meadow/,2.3,0,326126,14,61,5,1961,22.7,10,1,5,5.3,0,5.9,55.1,53,11,79,0.032302153,-5.52e-05,0.032302153,-5.52e-05
80,Lyon Park,http://durhamhoods.com/neighborhoods/lyon-park/,37.7,0,747641,111,290,196,1951,35.5,21,12,9,13.8,0,0,84.5,0,0,80,0.021546824,-3.04e-05,0.021546824,-3.04e-05
81,Marbry Landing,http://durhamhoods.com/neighborhoods/marbry-landing/,31.2,0,0,13,158,13,1999,1.2,0,0,1,0,0,0,0,0,0,81,0.024226785,-1.97e-05,0.024226785,-1.97e-05
82,Mary Dell,http://durhamhoods.com/neighborhoods/mary-dell/,0,0,756761,0,0,0,1989,0,0,0,0,0,0,0,0,22,0,82,0.026611224,-4.01e-05,0.026611224,-4.01e-05
83,Meadows of Pagehurst,http://durhamhoods.com/neighborhoods/meadows-of-pagehurst/,61.9,0,0,13,168,13,2004,0.8,0,0,0,26.8,30.2,0,13.6,0,0,83,0.018261369,-2e-05,0.018261369,-2e-05
84,Morehead Hill,http://durhamhoods.com/neighborhoods/morehead-hill/,90.6,0,3294846,82,286,18,1940,41.9,8,2,5,36.1,0,71.8,98.9,225,50,84,0.043633063,-7.24e-05,0.043633063,-7.24e-05
85,Myers Park/Beechgrove,http://durhamhoods.com/neighborhoods/myers-park-beechgrove/,73.4,0,1309767,0,38,0,1993,5.6,2,0,1,0,0,0,0,0,0,85,0.032941312,-6.13e-05,0.032941312,-6.13e-05
86,North Durham Community,http://durhamhoods.com/neighborhoods/north-durham-community/,1.8,0,434574,4,20,0,1978,8.8,0,0,0,0,0,0,0,0,0,86,0.063284085,-0.000197951,0.063284085,-0.000197951
87,Newhall Village,http://durhamhoods.com/neighborhoods/newhall-village/,0,0,0,0,0,0,1998,0,0,0,0,0,0,0,0,0,0,87,0.007549077,-3.39e-06,0.007549077,-3.39e-06
88,Northgate Park,http://durhamhoods.com/neighborhoods/northgate-park/,49.4,363708,189121,38,170,33,1949,21.7,45,10,13,20.6,2.8,10,51.2,106,22,88,0.066053951,-0.000207079,0.066053951,-0.000207079
89,Oakhaven,http://durhamhoods.com/neighborhoods/oakhaven/,102.8,0,0,0,0,0,2004,4.2,0,0,0,0,0,0,0,0,0,89,0.012330712,-7.85e-06,0.012330712,-7.85e-06
90,Oakhurst,http://durhamhoods.com/neighborhoods/oakhurst/,72.7,0,13979196,0,24,0,2004,0,0,0,0,0,0,0,0,0,0,90,0.017204934,-1.08e-05,0.017204934,-1.08e-05
91,Old East Durham,http://durhamhoods.com/neighborhoods/old-east-durham/,63.7,0,1580951,222,674,229,1933,36.1,132,130,24,1,0.3,0,100,162,32,91,0.046827826,-0.000111711,0.046827826,-0.000111711
92,Old Farm,http://durhamhoods.com/neighborhoods/old-farm/,7.9,0,174632,52,193,7,1974,9.3,11,5,5,49.7,47.7,48.6,55.2,26,12,92,0.047928538,-0.000115708,0.047928538,-0.000115708
93,Old Five Points,http://durhamhoods.com/neighborhoods/old-five-points/,98.1,1549274,0,82,856,82,1969,49.4,1,1,0,45.1,0,0,100,0,0,93,0.013512133,-6.35e-06,0.013512133,-6.35e-06
94,Old North Durham,http://durhamhoods.com/neighborhoods/old-north-durham/,85.3,935559,6006150,121,495,66,1943,25.2,37,19,4,46.5,2.6,0.4,98.5,106,23,94,0.055997548,-9.83e-05,0.055997548,-9.83e-05
95,Old West Durham,http://durhamhoods.com/neighborhoods/old-west-durham/,77.3,2552724,71453059,54,384,9,1935,53.5,16,9,1,59.6,0,32.5,87.7,155,42,95,0.074838866,-0.000166477,0.074838866,-0.000166477
96,Parc at University,http://durhamhoods.com/neighborhoods/parc-at-university/,54,0,0,0,230,0,1997,100,0,0,0,0,100,100,100,0,0,96,0.011393011,-6.74e-06,0.011393011,-6.74e-06
97,Park Ridge,http://durhamhoods.com/neighborhoods/park-ridge/,0,0,0,40,180,40,1986,0,0,0,0,0,0,0,100,81,11,97,0.018407528,-1.29e-05,0.018407528,-1.29e-05
98,Parkside,http://durhamhoods.com/neighborhoods/parkside/,0,0,0,35,140,17,1990,4.7,0,2,0,0,0,0,79.5,53,11,98,0.020063159,-1.48e-05,0.020063159,-1.48e-05
